date,home_team,away_team,team,minute
1969-12-07,Luxembourg,Bulgaria,Luxembourg,58.0
1970-02-07,Egypt,Guinea,Guinea,25.0
1970-02-07,Egypt,Guinea,Egypt,73.0
1970-02-09,DR Congo,Guinea,Guinea,55.0
1970-06-03,Belgium,El Salvador,Belgium,76.0
1970-06-06,Czechoslovakia,Romania,Romania,75.0
1970-06-07,Bulgaria,Germany,Germany,52.0
1970-06-11,Czechoslovakia,England,England,50.0
1970-06-11,Mexico,Belgium,Mexico,14.0
1970-10-11,Netherlands,Yugoslavia,Netherlands,50.0
1970-10-14,Republic of Ireland,Sweden,Republic of Ireland,44.0
1970-10-17,Germany,Turkey,Germany,37.0
1970-12-08,Italy,Republic of Ireland,Italy,22.0
1970-12-20,Malta,Switzerland,Malta,55.0
1971-02-03,Belgium,Scotland,Belgium,85.0
1971-02-03,Cyprus,Northern Ireland,Northern Ireland,86.0
1971-02-17,Belgium,Portugal,Belgium,64.0
1971-04-21,Wales,Czechoslovakia,Wales,49.0
1971-04-24,Hungary,France,Hungary,70.0
1971-05-12,England,Malta,England,46.0
1971-05-30,Republic of Ireland,Austria,Austria,4.0
1971-05-30,Republic of Ireland,Austria,Republic of Ireland,46.0
1971-06-09,Norway,Bulgaria,Bulgaria,42.0
1971-09-22,Finland,Romania,Romania,64.0
1971-10-10,Austria,Republic of Ireland,Austria,41.0
1971-11-10,France,Bulgaria,Bulgaria,54.0
1971-11-21,Portugal,Belgium,Portugal,90.0
1971-11-21,Trinidad and Tobago,Honduras,Honduras,36.0
1971-11-24,Spain,Cyprus,Spain,47.0
1971-11-26,Trinidad and Tobago,Mexico,Mexico,85.0
1971-11-28,Cuba,Mexico,Mexico,15.0
1972-02-24,Mali,Togo,Togo,45.0
1972-03-04,Cameroon,DR Congo,Cameroon,4.0
1972-03-12,Guinea,Algeria,Guinea,54.0
1972-04-29,England,Germany,Germany,84.0
1972-05-12,Korea Republic,Kuwait,Korea Republic,2.0
1972-05-13,Belgium,Italy,Italy,86.0
1972-05-22,Belgium,Iceland,Belgium,30.0
1972-05-22,Belgium,Iceland,Belgium,49.0
1972-06-17,Belgium,Hungary,Hungary,53.0
1972-07-02,Ghana,Benin,Ghana,72.0
1972-08-03,Norway,Iceland,Norway,55.0
1972-10-04,Norway,Belgium,Belgium,58.0
1972-10-15,Austria,Hungary,Austria,58.0
1972-10-15,Sweden,Malta,Sweden,35.0
1972-10-15,Sweden,Malta,Sweden,57.0
1972-10-18,Bulgaria,Northern Ireland,Bulgaria,18.0
1972-10-18,Bulgaria,Northern Ireland,Bulgaria,85.0
1972-11-01,Netherlands,Norway,Netherlands,80.0
1972-12-10,Turkey,Luxembourg,Turkey,79.0
1973-02-10,Nigeria,Ghana,Ghana,18.0
1973-02-11,Tunisia,Ivory Coast,Tunisia,48.0
1973-02-25,Ivory Coast,Tunisia,Ivory Coast,85.0
1973-02-27,DR Congo,Cameroon,DR Congo,88.0
1973-03-21,Iraq,Indonesia,Iraq,22.0
1973-03-28,Northern Ireland,Portugal,Portugal,84.0
1973-04-15,Zambia,Ethiopia,Zambia,62.0
1973-04-15,Zambia,Ethiopia,Ethiopia,79.0
1973-05-06,Albania,Romania,Romania,57.0
1973-05-13,Iran,Kuwait,Iran,60.0
1973-08-05,Ghana,DR Congo,Ghana,35.0
1973-08-19,DR Congo,Ghana,DR Congo,89.0
1973-08-29,Netherlands,Iceland,Netherlands,48.0
1973-10-07,Argentina,Paraguay,Argentina,32.0
1973-10-10,Albania,Finland,Albania,25.0
1973-10-17,Czechoslovakia,Scotland,Czechoslovakia,15.0
1973-10-17,England,Poland,England,63.0
1973-10-20,Italy,Switzerland,Italy,39.0
1973-10-31,Belgium,Norway,Belgium,32.0
1973-10-31,Belgium,Norway,Belgium,85.0
1973-11-11,Malta,Sweden,Sweden,35.0
1973-11-27,Austria,Sweden,Sweden,28.0
1974-03-07,Congo,Guinea,Guinea,60.0
1974-06-23,Bulgaria,Netherlands,Netherlands,5.0
1974-06-23,Bulgaria,Netherlands,Netherlands,44.0
1974-06-30,Germany,Sweden,Germany,89.0
1974-06-30,Poland,Yugoslavia,Poland,24.0
1974-07-07,Germany,Netherlands,Netherlands,2.0
1974-07-07,Germany,Netherlands,Germany,25.0
1974-09-08,Iceland,Belgium,Belgium,87.0
1974-09-25,Denmark,Spain,Spain,28.0
1974-09-25,Denmark,Spain,Denmark,48.0
1974-09-25,Finland,Netherlands,Netherlands,51.0
1974-10-13,Luxembourg,Hungary,Luxembourg,43.0
1975-04-02,Russia,Turkey,Russia,25.0
1975-04-02,Russia,Turkey,Russia,56.0
1975-04-20,Czechoslovakia,Cyprus,Czechoslovakia,50.0
1975-04-27,Bulgaria,Germany,Bulgaria,71.0
1975-04-27,Bulgaria,Germany,Germany,75.0
1975-05-01,Luxembourg,Wales,Luxembourg,39.0
1975-05-01,Luxembourg,Wales,Wales,83.0
1975-06-04,Greece,Malta,Greece,34.0
1975-06-05,Finland,Italy,Italy,26.0
1975-06-11,Bulgaria,Malta,Bulgaria,68.0
1975-06-30,Sweden,Norway,Norway,54.0
1975-06-30,Sweden,Norway,Sweden,65.0
1975-08-06,Brazil,Argentina,Brazil,55.0
1975-08-07,Peru,Bolivia,Peru,7.0
1975-08-07,Peru,Bolivia,Bolivia,58.0
1975-09-24,Hungary,Austria,Austria,16.0
1975-10-01,Uruguay,Colombia,Uruguay,17.0
1975-10-12,German DR,France,German DR,77.0
1975-10-15,Austria,Luxembourg,Austria,76.0
1975-11-16,Romania,Spain,Romania,72.0
1976-02-28,Germany,Malta,Germany,41.0
1976-02-29,Egypt,Guinea,Guinea,44.0
1976-03-01,Morocco,Sudan,Sudan,79.0
1976-03-01,Nigeria,DR Congo,Nigeria,37.0
1976-03-13,Burkina Faso,Mauritania,Mauritania,68.0
1976-04-25,Netherlands,Belgium,Netherlands,79.0
1976-05-22,Wales,Yugoslavia,Yugoslavia,19.0
1976-09-22,Finland,Luxembourg,Finland,82.0
1976-10-09,Switzerland,Sweden,Switzerland,40.0
1976-10-10,Spain,Yugoslavia,Spain,86.0
1976-10-17,Congo,Cameroon,Congo,66.0
1976-10-27,Denmark,Cyprus,Denmark,60.0
1976-10-27,Denmark,Cyprus,Denmark,68.0
1976-10-30,Nigeria,Sierra Leone,Sierra Leone,88.0
1976-10-31,Poland,Cyprus,Poland,24.0
1976-11-17,German DR,Turkey,German DR,3.0
1976-11-17,German DR,Turkey,Turkey,31.0
1976-12-05,Cyprus,Portugal,Cyprus,74.0
1977-02-27,Guinea,Togo,Guinea,40.0
1977-02-28,Hong Kong,Indonesia,Hong Kong,61.0
1977-03-07,Thailand,Indonesia,Thailand,30.0
1977-03-17,Bahrain,Kuwait,Kuwait,56.0
1977-03-19,Qatar,Bahrain,Bahrain,73.0
1977-03-20,Brazil,Paraguay,Brazil,6.0
1977-03-21,Qatar,Kuwait,Qatar,82.0
1977-03-30,England,Luxembourg,England,79.0
1977-04-03,Korea Republic,Japan,Korea Republic,84.0
1977-07-10,Nigeria,Ivory Coast,Nigeria,56.0
1977-07-14,Brazil,Bolivia,Brazil,27.0
1977-08-31,Netherlands,Iceland,Netherlands,89.0
1977-09-21,Poland,Denmark,Denmark,66.0
1977-10-09,Denmark,Portugal,Denmark,45.0
1977-10-12,Canada,Suriname,Suriname,40.0
1977-10-12,Guatemala,Haiti,Haiti,20.0
1977-10-12,Wales,Scotland,Scotland,78.0
1977-10-15,Mexico,Suriname,Suriname,23.0
1977-10-19,Mexico,Guatemala,Mexico,28.0
1977-10-20,El Salvador,Suriname,Suriname,89.0
1977-10-29,German DR,Malta,German DR,63.0
1977-10-30,Hong Kong,Australia,Australia,39.0
1977-11-25,Egypt,Tunisia,Egypt,26.0
1977-11-30,Bolivia,Hungary,Bolivia,45.0
1978-05-24,Denmark,Republic of Ireland,Denmark,79.0
1978-06-02,Mexico,Tunisia,Mexico,45.0
1978-06-03,Iran,Netherlands,Netherlands,40.0
1978-06-03,Iran,Netherlands,Netherlands,78.0
1978-06-06,Argentina,France,Argentina,45.0
1978-06-06,Hungary,Italy,Hungary,81.0
1978-06-07,Austria,Sweden,Austria,42.0
1978-06-11,Iran,Peru,Peru,36.0
1978-06-11,Iran,Peru,Peru,39.0
1978-06-11,Netherlands,Scotland,Netherlands,34.0
1978-06-11,Netherlands,Scotland,Scotland,46.0
1978-06-14,Austria,Netherlands,Netherlands,35.0
1978-06-14,Brazil,Peru,Brazil,72.0
1978-09-20,Denmark,England,Denmark,25.0
1978-09-20,Netherlands,Iceland,Netherlands,63.0
1978-10-04,German DR,Iceland,Iceland,14.0
1978-10-04,Sweden,Czechoslovakia,Sweden,15.0
1978-10-11,Greece,Finland,Greece,75.0
